name,number,Model,ic_type
ENSGT00390000000455.Euteleostomi.001.nt.fas,24,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,25,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,26,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,27,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,28,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,29,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,3,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,30,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,31,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,32,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,33,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,34,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,35,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,36,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,37,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,38,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,39,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,4,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,40,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,41,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,42,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,43,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,44,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,45,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,46,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,47,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,48,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,49,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,5,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,50,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,6,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,7,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,8,TIM3e+I+G4,AIC
ENSGT00390000000455.Euteleostomi.001.nt.fas,9,TIM3e+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,1,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,10,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,11,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,12,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,13,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,14,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,15,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,16,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,17,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,18,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,19,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,2,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,20,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,21,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,22,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,23,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,24,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,25,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,26,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,27,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,28,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,29,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,3,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,30,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,31,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,32,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,33,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,34,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,35,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,36,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,37,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,38,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,39,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,4,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,40,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,41,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,42,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,43,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,44,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,45,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,46,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,47,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,48,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,49,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,5,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,50,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,6,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,7,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,8,GTR+F+I+G4,AIC
ENSGT00390000000724.Euteleostomi.001.nt.fas,9,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,1,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,10,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,11,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,12,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,13,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,14,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,15,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,16,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,17,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,18,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,19,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,2,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,20,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,21,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,22,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,23,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,24,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,25,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,26,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,27,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,28,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,29,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,3,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,30,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,31,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,32,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,33,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,34,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,35,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,36,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,37,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,38,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,39,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,4,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,40,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,41,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,42,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,43,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,44,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,45,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,46,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,47,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,48,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,49,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,5,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,50,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,6,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,7,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,8,GTR+F+I+G4,AIC
ENSGT00390000000948.Euteleostomi.003.nt.fas,9,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,1,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,10,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,11,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,12,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,13,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,14,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,15,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,16,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,17,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,18,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,19,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,2,TIM3+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,20,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,21,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,22,TIM3+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,23,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,24,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,25,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,26,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,27,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,28,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,29,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,3,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,30,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,31,TIM3+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,32,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,33,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,34,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,35,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,36,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,37,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,38,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,39,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,4,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,40,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,41,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,42,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,43,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,44,TIM3+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,45,TIM3e+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,46,GTR+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,47,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,48,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,49,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,5,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,50,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,6,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,7,TIM3+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,8,TIM2+F+I+G4,AIC
ENSGT00390000001014.Euteleostomi.001.nt.fas,9,GTR+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,1,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,10,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,11,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,12,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,13,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,14,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,15,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,16,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,17,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,18,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,19,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,2,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,20,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,21,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,22,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,23,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,24,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,25,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,26,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,27,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,28,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,29,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,3,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,30,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,31,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,32,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,33,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,34,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,35,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,36,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,37,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,38,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,39,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,4,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,40,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,41,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,42,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,43,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,44,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,45,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,46,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,47,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,48,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,49,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,5,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,50,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,6,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,7,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,8,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.002.nt.fas,9,TVMe+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,1,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,10,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,11,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,12,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,13,GTR+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,14,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,15,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,16,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,17,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,18,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,19,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,2,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,20,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,21,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,22,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,23,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,24,TVM+F+I+G4,AIC
ENSGT00390000001046.Euteleostomi.005.nt.fas,25,TVM+F+I+G4,AIC
